State,Latitude,Longitude,Hour,Weather,Road_Type,Speed_Limit,Alcohol_Involved,Traffic_Density,Severity,Fatality,cluster_id,risk_level,timestamp
Maharashtra,19.266293647526222,72.81055810891574,-0.23594955864437153,Fog,Urban,59.83879431385619,0.008707441142149434,Low,2.006306022213117,-0.01656359667123989,1.1312090437399691,Medium,2023-12-13 00:00:00
Uttar Pradesh,26.833027904675006,80.95790805330067,1.8937612036841611,Fog,Urban,39.963295221658825,0.007083321614658403,Low,2.0004522819793125,-0.008822884013315447,3.23317790966537,Medium,2023-04-30 02:00:00
Uttar Pradesh,27.050740585155026,80.67927960662158,18.792258080479282,Clear,Rural,100.0722665428523,-0.023413762359078882,Low,0.9840883872062375,-0.004909340289395254,7.049595340436654,Low,2023-10-29 19:00:00
Karnataka,13.557889415046667,77.58605624152347,0.03839836666764072,Clear,Rural,81.06425901870298,1.0144900797310668,Medium,2.9999067545479514,0.0012516866417300277,1.9633800914864843,High,2023-04-21 00:00:00
Karnataka,12.870128634045132,77.72588450225163,3.4163241561421014,Clear,Urban,79.16013821271655,0.962746713999078,Low,3.018114322424184,0.008565107444538037,8.846882963944717,High,2023-05-16 03:00:00
Maharashtra,18.97483693754299,72.67330776598175,22.731866662334973,Rain,Rural,99.0487178376618,-0.016355143365074827,Low,2.9953440348916027,0.00580508458633925,7.983849642462029,High,2023-05-31 23:00:00
Uttar Pradesh,27.242116145053213,81.1427386117716,11.348039777053426,Fog,Highway,41.389943266878475,-0.04997883087662976,High,1.015491363817383,-0.009862736939539991,3.0291566303880346,Low,2023-05-29 11:00:00
Maharashtra,19.372458556143847,72.87083330441651,6.72817006206896,Fog,Urban,99.47999379112267,1.0389669381147375,Medium,1.9691230587882949,-0.0031086434066063626,1.7899915183309474,Medium,2023-07-09 07:00:00
Karnataka,12.793813457988493,,5.705233868890946,Fog,Urban,38.58036595591489,-0.005788926790907665,High,0.9777135358155797,0.0006387318751946513,8.132267667612602,Low,2023-05-06 06:00:00
Delhi,28.849662242580003,76.97540345588901,14.284669917433318,Rain,Urban,59.45472074106278,1.0541738737071125,High,2.972900182730763,-0.002192847886768325,-0.06084835899731004,High,2023-04-28 14:00:00
